Class,Message
ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do."
spam,tells u 2 call 09066358152 to claim £5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate"
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/5842
ham,U reach orchard already? U wan 2 go buy tickets first?
ham,K..k:)how much does it cost?
ham,What he said is not the matter. My mind saying some other matter is there.
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
ham,Delhi and chennai still silent.
ham,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks"
ham,Oh is it? Send me the address
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,Claim your exclusive reward by clicking here: bit.ly/5863. Act fast!
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
ham,What time you think you'll have it? Need to know when I should be near campus
ham,Then cant get da laptop? My matric card wif ü lei...
spam,Your account has been compromised! Reset your password here: bit.ly/3846
spam,Claim your exclusive reward by clicking here: bit.ly/5841. Act fast!
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone
ham,ok. I am a gentleman and will treat you with dignity and respect.
ham,"Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy"
ham,I'm putting it on now. It should be ready for  &lt;TIME&gt;
spam,Your account has been compromised! Reset your password here: bit.ly/7504
ham,"Oh... Icic... K lor, den meet other day..."
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+
spam,Urgent! Your loan is pre-approved. Apply now to secure the best rates: bit.ly/8436
spam,Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now.
spam,Limited time offer! Get 22% off on all products. Use code SPAM15 at checkout.
ham,I can send you a pic if you like :)
ham,I‘ll have a look at the frying pan in case it‘s cheap or a book perhaps. No that‘s silly a frying pan isn‘t likely to be a book
ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed..."
spam,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,I hope you that's the result of being consistently intelligent and kind. Start asking him about practicum links and keep your ears open and all the best. ttyl
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
spam,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832"
ham,I'm going out to buy mum's present ar.
ham,After the drug she will be able to eat.
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/1381
ham,You were supposed to wake ME up &gt;:(
ham,I know that my friend already told that.
spam,New job alert! Earn $3967/day from home. No experience needed. Apply now!
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
spam,New job alert! Earn $2756/day from home. No experience needed. Apply now!
ham,Yes baby! We can study all the positions of the kama sutra ;)
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
ham,S....s...india going to draw the series after many years in south african soil..
ham,Ok i shall talk to him
spam,You have been selected for a cash prize of $4924. Respond with 'YES' to claim.
ham,We're done...
ham,"Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ..."
spam,Your account has been compromised! Reset your password here: bit.ly/8336
ham,And popping &lt;#&gt; ibuprofens was no help.
ham,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished"
ham,Ok lor but not too early. Me still having project meeting now.
ham,No objection. My bf not coming.
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
ham,Lol boo I was hoping for a laugh
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/3389
ham,hi my darlin im on my way to London and we have just been smashed into by another driver! and have a big dent! im really missing u what have u been up to? xxx
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/2331
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,"Sorry, I'll call later"
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!
ham,Change again... It's e one next to escalator...
ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
spam,You have been selected for a cash prize of $115. Respond with 'YES' to claim.
ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
spam,You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
spam,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.
ham,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one."
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/4185
spam,You have been selected for a cash prize of $4543. Respond with 'YES' to claim.
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/3560
spam,New job alert! Earn $4957/day from home. No experience needed. Apply now!
spam,New job alert! Earn $1047/day from home. No experience needed. Apply now!
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or £1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR"
ham,Oh k...i'm watching here:)
ham,"I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!"
spam,FreeMsg Hi baby wow just got a new cam moby. Wanna C a hot pic? or Fancy a chat?Im w8in 4uTxt / rply CHAT to 82242 Hlp 08712317606 Msg150p 2rcv
ham,Thank u!
ham,Jay's getting really impatient and belligerent
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/1911
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/1363
spam,Limited time offer! Get 40% off on all products. Use code SPAM86 at checkout.
spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
ham,Dude just saw a parked car with its sunroof popped up. Sux
ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
spam,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
spam,Your account has been compromised! Reset your password here: bit.ly/6643
ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
ham,Annoying isn't it.
ham,We still on for tonight?
ham,K.k:)when are you going?
spam,New job alert! Earn $4811/day from home. No experience needed. Apply now!
ham,"Sir, I need AXIS BANK account no and bank address."
ham,"Alright, I'll head out in a few minutes, text me where to meet you"
ham,Ya even those cookies have jelly on them
spam,You have been selected for a cash prize of $100. Respond with 'YES' to claim.
ham,Good night my dear.. Sleepwell&amp;Take care
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
ham,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
spam,Am new 2 club & dont fink we met yet Will B gr8 2 C U Please leave msg 2day wiv ur area 09099726553 reply promised CARLIE x Calls£1/minMobsmore LKPOBOX177HP51FL
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!
ham,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/8282
ham,"How long has it been since you screamed, princess?"
ham,Every monday..nxt week vl be completing..
ham,That is wondar full flim.
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/3161
spam,Your account has been compromised! Reset your password here: bit.ly/5125
ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
ham,Yes.. now only saw your message..
spam,You have been selected for a cash prize of $4651. Respond with 'YES' to claim.
spam,Your account has been compromised! Reset your password here: bit.ly/1880
ham,Arun can u transfr me d amt
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,"K, I might come by tonight then if my class lets out early"
ham,Where's my boytoy? I miss you ... What happened?
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/1711
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)"
ham,i see. When we finish we have loads of loans to pay
ham,Yes see ya not on the dot
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/1534
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill
ham,"Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card"
spam,You have been selected for a cash prize of $4328. Respond with 'YES' to claim.
ham,Thanks for picking up the trash.
spam,You have been selected for a cash prize of $2495. Respond with 'YES' to claim.
spam,CDs 4u: Congratulations ur awarded £500 of CD gift vouchers or £125 gift guaranteed & Freeentry 2 £100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16
ham,"Yeah probably, I still gotta check out with leo"
ham,Ok... Ur typical reply...
spam,"URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
ham,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!"
ham,Okie...
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
spam,Your account has been compromised! Reset your password here: bit.ly/8088
ham,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q?"
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?"""
ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
ham,How many licks does it take to get to the center of a tootsie pop?
spam,New job alert! Earn $217/day from home. No experience needed. Apply now!
ham,Yes:)from last week itself i'm taking live call.
spam,Your account has been compromised! Reset your password here: bit.ly/4364
ham,"Its ok chikku, and its my 1 of favourite song..:-)"
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/1790
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/2638
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too
spam,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
ham,What Today-sunday..sunday is holiday..so no work..
spam,Congratulations! You won $5000. Click here to claim your prize: bit.ly/7781
ham,Pls confirm the time to collect the cheque.
spam,You have been selected for a cash prize of $2178. Respond with 'YES' to claim.
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,What is this 'hex' place you talk of? Explain!
spam,"URGENT! Your mobile was awarded a £1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011"
ham,Bring tat cd don forget
ham,Tell them no need to investigate about me anywhere.
spam,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu"
ham,I‘m parked next to a MINI!!!! When are you coming in today do you think?
ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
ham,Ok. There may be a free gym about.
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
ham,Where are the garage keys? They aren't on the bookshelf
ham,How is it possible to teach you. And where.
spam,New job alert! Earn $2144/day from home. No experience needed. Apply now!
ham,Can come my room but cannot come my house cos my house still messy... Haha...
ham,The message sent is askin for  &lt;#&gt; dollars. Shoul i pay  &lt;#&gt;  or  &lt;#&gt; ?
ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/8388
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/3396
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,Claim your exclusive reward by clicking here: bit.ly/6004. Act fast!
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/8817
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/2675
spam,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
ham,Oh dang! I didn't mean o send that to you! Lol!
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,If you're thinking of lifting me one then no.
ham,"Ya tel, wats ur problem.."
spam,Claim your exclusive reward by clicking here: bit.ly/3847. Act fast!
ham,Hello which the site to download songs its urgent pls
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
ham,Ok...
ham,We not watching movie already. Xy wants 2 shop so i'm shopping w her now.
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)"
ham,"Yo carlos, a few friends are already asking me about you, you working at all this weekend?"
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,Please don't text me anymore. I have nothing else to say.
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
spam,"""For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk"""
spam,Limited time offer! Get 16% off on all products. Use code SPAM79 at checkout.
ham,Quite late lar... Ard 12 anyway i wun b drivin...
ham,Didn't you get hep b immunisation in nigeria.
spam,Your account has been compromised! Reset your password here: bit.ly/6228
ham,Ok i juz receive..
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/2410
ham,Take some small dose tablet for fever
spam,You have been selected for a cash prize of $3980. Respond with 'YES' to claim.
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
ham,Thanx but my birthday is over already.
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/9355
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
ham,"that would be good … I'll phone you tomo lunchtime, shall I, to organise something?"
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
spam,You have been selected for a cash prize of $3213. Respond with 'YES' to claim.
ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/9009
spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
ham,Just sleeping..and surfing
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
ham,What does the dance river do?
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/9827
spam,You have been selected for a cash prize of $4182. Respond with 'YES' to claim.
ham,U having lunch alone? I now so bored...
spam,Claim your exclusive reward by clicking here: bit.ly/4522. Act fast!
ham,Did u find out what time the bus is at coz i need to sort some stuff out.
ham,Yes :)it completely in out of form:)clark also utter waste.
ham,Ok i msg u b4 i leave my house.
ham,Then we wait 4 u lor... No need 2 feel bad lar...
ham,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/2542
spam,important information 4 orange user . today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!
ham,Guess who spent all last night phasing in and out of the fourth dimension
spam,New job alert! Earn $2555/day from home. No experience needed. Apply now!
spam,Your package is on hold due to unpaid charges. Pay now: bit.ly/5185
spam,"Welcome to Select, an O2 service with added benefits. You can now call our specially trained advisors FREE from your mobile by dialling 402."
spam,PRIVATE! Your 2003 Account Statement for <fone no> shows 800 un-redeemed S. I. M. points. Call 08715203656 Identifier Code: 42049 Expires 26/10/04
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires
spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
ham,"Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea"
spam,New job alert! Earn $3819/day from home. No experience needed. Apply now!
spam,You have been selected for a cash prize of $1032. Respond with 'YES' to claim.
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/5290
ham,I see the letter B on my car
ham,Ugh fuck it I'm resubbing to eve
ham,Nobody can decide where to eat and dad wants Chinese
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
ham,Do you work all this week ?
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
spam,You won 2 free tickets to an exclusive event! RSVP at: bit.ly/6457
ham,Well done and ! luv ya all
spam,Claim your exclusive reward by clicking here: bit.ly/9736. Act fast!
spam,Get a free trial subscription to our premium service. Offer ends soon! Visit: bit.ly/1891
